timestamp,company,catergory,product,price,unit_price,
20231107_165549,dunnes,potato,ownbrand my family favourites baby potatoes 1kg ,1.19,1.19
20231107_165549,dunnes,potato,ownbrand flavoursome baby potatoes 1kg ,1.79,1.79
20231107_165549,dunnes,potato,ownbrand microwave irish rooster potatoes 1kg ,1.99,1.99
20231107_165549,dunnes,potato,ownbrand fresh sweet potatoes 750g ,1.0,1.33
20231107_165549,dunnes,potato,ownbrand floury maris piper potatoes 2.5kg ,3.99,1.6
20231107_165549,dunnes,potato,ownbrand irish rooster potatoes 2.5kg ,4.49,1.8
20231107_165549,dunnes,potato,ownbrand floury irish baby rooster potatoes 1kg ,1.09,1.09
20231107_165549,dunnes,potato,wilson's country garden potatoes 2kg ,2.49,1.25
20231107_165549,dunnes,potato,ownbrand dry & floury new irish potatoes 1kg ,1.99,1.99
20231107_165549,dunnes,potato,ownbrand irish white potatoes 2kg ,2.99,1.5
20231107_165549,dunnes,potato,ownbrand organic irish potatoes 2kg ,3.29,1.65
20231107_165549,dunnes,potato,ownbrand organic vegetables sweet potatoes 500g ,2.99,5.98
20231107_165549,dunnes,potato,birds eye 18 potato waffles 1.02kg ,4.49,4.49
20231107_165549,dunnes,potato,ownbrand my family favourites irish potatoes 7.5kg ,6.99,0.93
20231107_165549,dunnes,potato,green isle roast potatoes 800g ,4.0,5.0
20231107_165549,dunnes,potato,ownbrand sunflower oil roast potatoes 1kg ,0.89,0.89
20231107_165549,dunnes,potato,ownbrand organic potatoes 2.5kg ,3.99,1.6
20231107_165549,dunnes,potato,strong roots garlic roasted sweet potato 500g ,2.98,5.96
20231107_165549,dunnes,potato,wilson's country maris piper 4kg ,5.99,1.5
20231107_165549,dunnes,potato,knorr mashed potato mix 204g ,2.5,12.25
20231107_165549,dunnes,potato,ownbrand dry and floury irish kerr's pink potatoes 7.5kg ,7.99,1.07
20231107_165549,dunnes,potato,ownbrand irish kerr's pink potatoes 2.5kg ,3.99,1.6
20231107_165549,dunnes,potato,mccain triple cooked roasts 700g ,3.5,4.29
20231107_165549,dunnes,potato,mccain 4 jackets 800g ,4.29,5.36
20231107_165549,dunnes,potato,ownbrand lightly spiced southern fried potato wedges 1kg ,1.19,1.19
20231107_165549,dunnes,potato,birds eye 10 potato waffles 567g ,3.49,3.49
20231107_165549,Tesco,potato,ownbrand baby potatoes 1kg,1.2,1.2
20231107_165549,Tesco,potato,ownbrand baby  rooster potatoes 1kg,1.39,1.39
20231107_165549,Tesco,potato,ownbrand organic potatoes 2kg,2.65,1.32
20231107_165549,Tesco,potato,ownbrand maris piper potatoes 2kg,3.89,1.94
20231107_165549,Tesco,potato,country c ,1.25,2.5
20231107_165549,Tesco,potato,ownbrand white potatoes 2kg,3.29,1.64
20231107_165549,Tesco,potato,ownbrand sweet potatoes 800g,0.99,1.24
20231107_165549,Tesco,potato,ownbrand spicy potato wedges 750g,0.89,1.19
20231107_165549,Tesco,potato,ownbrand 4 pack baker potatoes 750g,2.99,3.99
20231107_165549,Tesco,potato,ownbrand 12 potato waffles 680g,1.39,2.04
20231107_165549,Tesco,potato,ownbrand finest potatoes 2 5kg,5.2,2.08
20231107_165549,Tesco,potato,ownbrand potato farls 4 pack,0.85,0.21
20231107_165549,Tesco,potato,ownbrand  rooster 2kg,3.69,1.84
20231107_165549,Aldi,carrots,whole baby carrots in salted water 340g 220g drained ,0.72,2.12
20231107_165549,Aldi,carrots,baby carrots petit pois in salted water 340g 220g dr,0.72,2.12
20231107_165549,Aldi,carrots,small  carrots 500g ownbrand,0.69,1.38
20231107_165549,Aldi,carrots,carrots 1kg ownbrand,1.09,1.09
20231107_165549,Aldi,carrots, carrot parsnip tray 500g ownbrand,1.19,2.38
20231107_165549,Aldi,carrots,carrots 2kg ownbrand,1.95,0.98
20231107_165549,Aldi,carrots,baby carrots 907g four seasons,1.29,1.42
20231107_165549,Aldi,carrots,organic carrots 700g organic,1.15,1.65
20231107_165549,Aldi,carrots,chopped carrot parsnip 907g four seasons,1.19,1.31
20231107_165549,Aldi,carrots,sliced carrots 1kg four seasons,1.29,1.29
20231107_165549,Aldi,carrots,ice cream lollies 4x35g kevin the carrot,1.6179,0.83
20231107_165549,Aldi,carrots,baby carrots 200g ownbrand,0.99,4.95
20231107_165549,Aldi,carrots,carrot puffs 20g mamia,0.85,42.5
20231107_165549,Aldi,carrots,carrot coriander soup 400g tasty,1.69,4.23
20231107_165549,Aldi,carrots,carrot cake 400g gr innes bakery,2.4581,6.98
20231107_165549,Aldi,carrots,beetroot carrot salad 200g the deli,1.19,5.95
20231107_165549,Aldi,carrots,organic apples carrots parsnips fruit pouch 120g mam,0.85,0.71
20231107_165549,Aldi,carrots,carrot coriander sticks 4x15g 60g organic mamia,1.99,33.17
20231107_165549,Aldi,carrots,tasty chicken sticks with carrot 90g langhams,2.4309,33.22
20231107_165549,Aldi,carrots,freshly cut carrot batons 500g gilfresh,1.49,2.98
20231107_165549,Aldi,carrots,carrot and butternut squash soup 400g soupreme,1.99,4.98
20231107_165549,Aldi,carrots,freshly cut carrot cauliflower broccoli 350g gilfresh,1.25,4.08
20231107_165549,Aldi,carrots,carrot chia seed salad 170g the deli,1.19,7.0
20231107_165549,Aldi,carrots,organic carrot cake oaty bars 6x25g organic mamia,1.99,13.27
20231107_165549,Aldi,carrots,comforting mashed carrot parsnip with butter 400g ins,1.89,4.73
20231107_165549,Aldi,carrots,revitalise clementine carrot ginger smoothie 750ml ,1.7805,0.29
20231107_165549,dunnes,carrots,ownbrand sweet & crunchy irish carrots 1kg ,1.09,1.09
20231107_165549,dunnes,carrots,ownbrand organic carrots 1kg ,1.69,1.69
20231107_165549,dunnes,carrots,ownbrand fresh irish carrots 650g ,1.0,1.54
20231107_165549,dunnes,carrots,ownbrand bunched carrots 500g ,2.29,4.58
20231107_165549,dunnes,carrots,ownbrand carrot & parsnip ,1.19,2.38
20231107_165549,dunnes,carrots,leo dunne ltd fresh irish carrots ,2.0,1.0
20231107_165549,dunnes,carrots,ownbrand organic vegetables baby carrots 300g ,2.0,6.67
20231107_165549,dunnes,carrots,dunnes sliced carrots 340g ,0.89,2.62
20231107_165549,dunnes,carrots,green isle baby carrots 450g ,1.8,1.8
20231107_165549,dunnes,carrots,dunnes sliced carrots 680g ,1.99,2.93
20231107_165549,dunnes,carrots,ownbrand my family favourites sliced carrots in salted water 400g ,0.59,1.48
20231107_165549,dunnes,carrots,sunny south baby carrots 680g ,1.09,1.6
20231107_165549,dunnes,carrots,sunny south sliced carrots 680g ,1.69,2.49
20231107_165549,dunnes,carrots,sunny south petit pois & baby carrots 340g ,1.25,3.68
20231107_165549,dunnes,carrots,loughshore veg carrot batons 500g ,1.79,1.79
20231107_165549,dunnes,carrots,masterson's processed peas 420g ,0.41,0.98
20231107_165549,dunnes,carrots,ownbrand sweetcorn in water 326g ,0.27,0.83
20231107_165549,dunnes,carrots,ownbrand carrot cauliflower & broccoli 500g ,2.99,2.99
20231107_165549,dunnes,carrots,ownbrand no soak marrowfat peas 125g ,0.75,6.0
20231107_165549,dunnes,carrots,batchelors irish peas 420g ,1.39,3.31
20231107_165549,dunnes,carrots,green giant original 3 x 198g ,3.0,3.85
20231107_165549,dunnes,carrots,batchelors irish peas 3 x 225g ,3.29,4.87
20231107_165549,dunnes,carrots,ownbrand fresh seasonal vegetables baby carrots 200g ,1.79,1.79
20231107_165549,dunnes,carrots,ownbrand fresh carrot cauliflower & broccoli ,1.99,3.62
20231107_165549,dunnes,carrots,green valley mushy peas 420g ,1.0,2.38
20231107_165549,dunnes,carrots,ownbrand sweetcorn in water 3 x 160g ,1.99,4.15
20231107_165549,dunnes,carrots,batchelors irish peas no added sugar 3 x 225g ,3.29,4.87
